date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-05
2012-01-11 | 1
2012-01-11 | 2147483648
2022-03-26 | 1
2022-03-28 | 1
2009-01-01 | 1
2022-03-29 | 1
2022-03-30 | 1

-- | 1
10-- | 1
-10- | 1
--10 | 1
10-10- | 1
-10-10 | 1
10--10 | 1
   10-10-10 | 1
-2000-12-12 | 1
1000-0-1 | 1
1000-1-0 | 1
1000-13-1 | 1
1000-1-32 | 1
2024-2-29 | 1
2015-1w-1 | 1
2015-1-1 q | 1
2015-1-1 | 1q
2015-1-1 | q
2015-1-p | 1
 | 1
2022-03-26  | 1
2022-03-26 |  1
2022-03-26| 1
2022-03-26 |1
